id,x,y,z,length,orientation
0,0,-839.98361302491753122,22872.960000000002765,3220,0
1,0,-860.26361302491773131,22872.960000000002765,3220,0
2,0,-880.54361302491770402,22872.960000000002765,3220,0
3,0,-900.82361302491790411,22872.960000000002765,3220,0
4,0,-921.10361302491787683,22872.960000000002765,3220,0
5,0,-941.38361302491807692,22872.960000000002765,3220,0
6,0,-961.66361302491827701,22872.960000000002765,3220,0
7,0,-981.94361302491824972,22872.960000000002765,3220,0
8,0,-1002.2236130249184498,22872.960000000002765,3220,0
9,0,-1022.5036130249181952,22872.960000000002765,3220,0
10,0,-1042.7836130249183952,22872.960000000002765,3220,0
11,0,-1063.063613024918368,22872.960000000002765,3220,0
12,0,-1083.343613024918568,22872.960000000002765,3220,0
13,0,-1103.6236130249185408,22872.960000000002765,3220,0
14,0,-1123.9036130249187408,22872.960000000002765,3220,0
15,0,-1144.1836130249187136,22872.960000000002765,3220,0
16,0,-1164.4636130249186863,22872.960000000002765,3220,0
17,0,-1184.7436130249188864,22872.960000000002765,3220,0
18,0,-1205.0236130249190865,22872.960000000002765,3220,0
19,0,-1225.3036130249190592,22872.960000000002765,3220,0
20,0,-1245.5836130249192593,22872.960000000002765,3220,0
21,0,-1265.863613024919232,22872.960000000002765,3220,0
22,0,-1286.1436130249192047,22872.960000000002765,3220,0
23,0,-1306.4236130249194048,22872.960000000002765,3220,0
24,0,-1326.7036130249193775,22872.960000000002765,3220,0
25,0,-1346.9836130249195776,22872.960000000002765,3220,0
26,0,-1367.2636130249197777,22872.960000000002765,3220,0
27,0,-1387.5436130249197504,22872.960000000002765,3220,0
28,0,-1407.8236130249197231,22872.960000000002765,3220,0
29,0,-1428.1036130249199232,22872.960000000002765,3220,0
30,0,-1448.3836130249198959,22872.960000000002765,3220,0
31,0,-1468.6636130249198686,22872.960000000002765,3220,0
32,0,-1488.9436130249200687,22872.960000000002765,3220,0
33,0,-1509.2236130249200414,22872.960000000002765,3220,0
34,0,-1529.5036130249202415,22872.960000000002765,3220,0
35,0,-1549.7836130249202142,22872.960000000002765,3220,0
36,0,-1570.0636130249204143,22872.960000000002765,3220,0
37,0,-1590.343613024920387,22872.960000000002765,3220,0
38,0,-1610.6236130249203597,22872.960000000002765,3220,0
39,0,-1630.9036130249205598,22872.960000000002765,3220,0
40,0,-1651.1836130249207599,22872.960000000002765,3220,0
41,0,-1671.4636130249207326,22872.960000000002765,3220,0
42,0,-1691.7436130249209327,22872.960000000002765,3220,0
43,0,-1712.0236130249209054,22872.960000000002765,3220,0
44,0,-1732.3036130249211055,22872.960000000002765,3220,0
45,0,-1752.5836130249210782,22872.960000000002765,3220,0
46,0,-1772.863613024921051,22872.960000000002765,3220,0
47,0,-1793.1436130249212511,22872.960000000002765,3220,0
48,0,-1813.4236130249214511,22872.960000000002765,3220,0
49,0,-1833.7036130249211965,22872.960000000002765,3220,0
50,0,-1853.9836130249213966,22872.960000000002765,3220,0
51,0,-1874.2636130249215967,22872.960000000002765,3220,0
52,0,-1894.5436130249215694,22872.960000000002765,3220,0
53,0,-1914.8236130249215421,22872.960000000002765,3220,0
54,0,-1935.1036130249212874,22872.960000000002765,3220,0
55,0,-1955.3836130249214875,22872.960000000002765,3220,0
56,0,-1975.6636130249214602,22872.960000000002765,3220,0
57,0,-1995.943613024921433,22872.960000000002765,3220,0
58,0,-2016.2236130249211783,22872.960000000002765,3220,0
59,0,-2036.5036130249213784,22872.960000000002765,3220,0
60,0,-2056.7836130249211237,22872.960000000002765,3220,0
61,0,-2077.0636130249213238,22872.960000000002765,3220,0
62,0,-2097.3436130249210692,22872.960000000002765,3220,0
63,0,-2117.6236130249212692,22872.960000000002765,3220,0
64,0,-2137.9036130249210146,22872.960000000002765,3220,0
65,0,-2158.1836130249212147,22872.960000000002765,3220,0
66,0,-2178.46361302492096,22872.960000000002765,3220,0
67,0,-2198.7436130249211601,22872.960000000002765,3220,0
68,0,-2219.0236130249213602,22872.960000000002765,3220,0
69,0,-2239.3036130249211055,22872.960000000002765,3220,0
70,0,-2259.5836130249213056,22872.960000000002765,3220,0
71,0,-2279.863613024921051,22872.960000000002765,3220,0
72,0,-2300.1436130249212511,22872.960000000002765,3220,0
73,0,-2320.4236130249209964,22872.960000000002765,3220,0
74,0,-2340.7036130249211965,22872.960000000002765,3220,0
75,0,-2360.9836130249213966,22872.960000000002765,3220,0
76,0,-2381.2636130249211419,22872.960000000002765,3220,0
77,0,-2401.543613024921342,22872.960000000002765,3220,0
78,0,-2421.8236130249210873,22872.960000000002765,3220,0
79,0,-2442.1036130249212874,22872.960000000002765,3220,0
80,0,-2462.3836130249210328,22872.960000000002765,3220,0
81,0,-2482.6636130249212329,22872.960000000002765,3220,0
82,0,-2502.9436130249209782,22872.960000000002765,3220,0
83,0,-2523.2236130249211783,22872.960000000002765,3220,0
84,0,-2543.5036130249213784,22872.960000000002765,3220,0
85,0,-2563.7836130249211237,22872.960000000002765,3220,0
86,0,-2584.0636130249213238,22872.960000000002765,3220,0
87,0,-2604.3436130249210692,22872.960000000002765,3220,0
88,0,-2624.6236130249212692,22872.960000000002765,3220,0
89,0,-2644.9036130249214693,22872.960000000002765,3220,0
90,0,-2665.1836130249212147,22872.960000000002765,3220,0
91,0,-2685.46361302492096,22872.960000000002765,3220,0
92,0,-2705.7436130249211601,22872.960000000002765,3220,0
93,0,-2726.0236130249213602,22872.960000000002765,3220,0
94,0,-2746.3036130249211055,22872.960000000002765,3220,0
95,0,-2766.5836130249208509,22872.960000000002765,3220,0
96,0,-2786.863613024921051,22872.960000000002765,3220,0
97,0,-2807.1436130249212511,22872.960000000002765,3220,0
98,0,-2827.4236130249209964,22872.960000000002765,3220,0
99,0,-2847.7036130249207417,22872.960000000002765,3220,0
100,0,-2867.9836130249209418,22872.960000000002765,3220,0
101,0,-2888.2636130249206872,22872.960000000002765,3220,0
102,0,-2908.5436130249208873,22872.960000000002765,3220,0
103,0,-2928.8236130249210873,22872.960000000002765,3220,0
104,0,-2949.1036130249212874,22872.960000000002765,3220,0
105,0,-2969.3836130249210328,22872.960000000002765,3220,0
106,0,-2989.6636130249212329,22872.960000000002765,3220,0
107,0,-3009.943613024921433,22872.960000000002765,3220,0
108,0,-3030.2236130249211783,22872.960000000002765,3220,0
109,0,-3050.5036130249213784,22872.960000000002765,3220,0
110,0,-3070.7836130249215785,22872.960000000002765,3220,0
111,0,-3091.0636130249213238,22872.960000000002765,3220,0
112,0,-3111.3436130249215239,22872.960000000002765,3220,0
113,0,-3131.623613024921724,22872.960000000002765,3220,0
114,0,-3151.9036130249219241,22872.960000000002765,3220,0
115,0,-3172.1836130249221242,22872.960000000002765,3220,0
116,0,-3192.4636130249218695,22872.960000000002765,3220,0
117,0,-3212.7436130249220696,22872.960000000002765,3220,0
118,0,-3233.0236130249222697,22872.960000000002765,3220,0
119,0,-3253.303613024922015,22872.960000000002765,3220,0
120,0,-3273.5836130249222151,22872.960000000002765,3220,0
121,0,-3293.8636130249224152,22872.960000000002765,3220,0
122,0,-3314.1436130249221605,22872.960000000002765,3220,0
123,0,-3334.4236130249223606,22872.960000000002765,3220,0
124,0,-3354.7036130249225607,22872.960000000002765,3220,0
125,0,-3374.9836130249227608,22872.960000000002765,3220,0
126,0,-3395.2636130249229609,22872.960000000002765,3220,0
127,0,-3415.5436130249227062,22872.960000000002765,3220,0
128,0,-3435.8236130249229063,22872.960000000002765,3220,0
129,0,-3456.1036130249231064,22872.960000000002765,3220,0
130,0,-3476.3836130249228518,22872.960000000002765,3220,0
131,0,-3496.6636130249230519,22872.960000000002765,3220,0
132,0,-3516.9436130249232519,22872.960000000002765,3220,0
133,0,-3537.2236130249229973,22872.960000000002765,3220,0
134,0,-3557.5036130249236521,22872.960000000002765,3220,0
135,0,-3577.7836130249233975,22872.960000000002765,3220,0
136,0,-3598.0636130249235975,22872.960000000002765,3220,0
137,0,-3618.3436130249237976,22872.960000000002765,3220,0
138,0,-3638.623613024923543,22872.960000000002765,3220,0
139,0,-3658.9036130249237431,22872.960000000002765,3220,0
140,0,-3679.1836130249239432,22872.960000000002765,3220,0
141,0,-3699.4636130249236885,22872.960000000002765,3220,0
142,0,-3719.7436130249238886,22872.960000000002765,3220,0
143,0,-3740.0236130249240887,22872.960000000002765,3220,0
144,0,-3760.3036130249242888,22872.960000000002765,3220,0
145,0,-3780.5836130249240341,22872.960000000002765,3220,0
146,0,-3800.8636130249242342,22872.960000000002765,3220,0
147,0,-3821.1436130249239795,22872.960000000002765,3220,0
148,0,-3841.4236130249246344,22872.960000000002765,3220,0
149,0,-3861.7036130249243797,22872.960000000002765,3220,0
150,0,-3881.9836130249245798,22872.960000000002765,3220,0
